AssociationName,Period,PeriodError,LocalSignificance,GlobalSignificance,4FGLSourceName,API_Link_LCR
S50716+71,2.85,0.33,4.5,3.0,J0721.9+7120,https://fermi.gsfc.nasa.gov/ssc/data/access/lat/LightCurveRepository/queryDB.php?typeOfRequest=lightCurveData&source_name=4FGL%20J0721.9%2B7120&cadence=monthly&flux_type=photon&index_type=fixed&ts_min=4
PKS0208-512,2.47,0.26,4.5,3.0,J0210.7-5101,https://fermi.gsfc.nasa.gov/ssc/data/access/lat/LightCurveRepository/queryDB.php?typeOfRequest=lightCurveData&source_name=4FGL%20J0210.7-5101&cadence=monthly&flux_type=photon&index_type=fixed&ts_min=4
PKS2155-304,1.65,0.10,4.5,3.0,J2158.8-3013,https://fermi.gsfc.nasa.gov/ssc/data/access/lat/LightCurveRepository/queryDB.php?typeOfRequest=lightCurveData&source_name=4FGL%20J2158.8-3013&cadence=monthly&flux_type=photon&index_type=fixed&ts_min=4
PKS1424+240,1.53,0.09,4.5,3.0,J1427.0+2348*,https://fermi.gsfc.nasa.gov/ssc/data/access/lat/LightCurveRepository/queryDB.php?typeOfRequest=lightCurveData&source_name=4FGL%20J1427.0%2B2348&cadence=monthly&flux_type=photon&index_type=fixed&ts_min=4
TXS1452+516,2.07,0.20,4.2,2.5,J1454.4+5124,https://fermi.gsfc.nasa.gov/ssc/data/access/lat/LightCurveRepository/queryDB.php?typeOfRequest=lightCurveData&source_name=4FGL%20J1454.4%2B5124&cadence=monthly&flux_type=photon&index_type=fixed&ts_min=4
7C2010+4619,3.23,0.46,4.2,2.5,J2012.0+4629*,https://fermi.gsfc.nasa.gov/ssc/data/access/lat/LightCurveRepository/queryDB.php?typeOfRequest=lightCurveData&source_name=4FGL%20J2012.0%2B4629&cadence=monthly&flux_type=photon&index_type=fixed&ts_min=4
BLLac,2.05,0.15,4.1,2.3,J2202.7+4216,https://fermi.gsfc.nasa.gov/ssc/data/access/lat/LightCurveRepository/queryDB.php?typeOfRequest=lightCurveData&source_name=4FGL%20J2202.7%2B4216&cadence=monthly&flux_type=photon&index_type=fixed&ts_min=4
B22234+28A,2.19,0.15,4.1,2.3,J2236.3+2828*,https://fermi.gsfc.nasa.gov/ssc/data/access/lat/LightCurveRepository/queryDB.php?typeOfRequest=lightCurveData&source_name=4FGL%20J2236.3%2B2828&cadence=monthly&flux_type=photon&index_type=fixed&ts_min=4
GB6J0043+3426,1.95,0.16,4.1,2.3,J0043.8+3425,https://fermi.gsfc.nasa.gov/ssc/data/access/lat/LightCurveRepository/queryDB.php?typeOfRequest=lightCurveData&source_name=4FGL%20J0043.8%2B3425&cadence=monthly&flux_type=photon&index_type=fixed&ts_min=4
S20109+22,2.65,0.31,4.1,2.3,J0112.1+2245*,https://fermi.gsfc.nasa.gov/ssc/data/access/lat/LightCurveRepository/queryDB.php?typeOfRequest=lightCurveData&source_name=4FGL%20J0112.1%2B2245&cadence=monthly&flux_type=photon&index_type=fixed&ts_min=4
PMNJ0948+0022,1.39,0.15,4.0,2.2,J0948.9+0022,https://fermi.gsfc.nasa.gov/ssc/data/access/lat/LightCurveRepository/queryDB.php?typeOfRequest=lightCurveData&source_name=4FGL%20J0948.9%2B0022&cadence=monthly&flux_type=photon&index_type=fixed&ts_min=4
PKS0447-439,1.89,0.25,4.0,2.2,J0449.4-4350,https://fermi.gsfc.nasa.gov/ssc/data/access/lat/LightCurveRepository/queryDB.php?typeOfRequest=lightCurveData&source_name=4FGL%20J0449.4-4350&cadence=monthly&flux_type=photon&index_type=fixed&ts_min=4
PMNJ0427-3900,2.79,0.31,3.9,2.0,J0427.3-3900*,https://fermi.gsfc.nasa.gov/ssc/data/access/lat/LightCurveRepository/queryDB.php?typeOfRequest=lightCurveData&source_name=4FGL%20J0427.3-3900&cadence=monthly&flux_type=photon&index_type=fixed&ts_min=4
TXS1318+225,1.21,0.06,3.8,1.8,J1321.1+2216*,https://fermi.gsfc.nasa.gov/ssc/data/access/lat/LightCurveRepository/queryDB.php?typeOfRequest=lightCurveData&source_name=4FGL%20J1321.1%2B2216&cadence=monthly&flux_type=photon&index_type=fixed&ts_min=4
S51221+80,2.67,0.27,3.5,1.2,J1223.8+8039*,https://fermi.gsfc.nasa.gov/ssc/data/access/lat/LightCurveRepository/queryDB.php?typeOfRequest=lightCurveData&source_name=4FGL%20J1223.8%2B8039&cadence=monthly&flux_type=photon&index_type=fixed&ts_min=4
PKS0301-243,2.05,0.18,3.3,1.0,J0303.4-2407,https://fermi.gsfc.nasa.gov/ssc/data/access/lat/LightCurveRepository/queryDB.php?typeOfRequest=lightCurveData&source_name=4FGL%20J0303.4-2407&cadence=monthly&flux_type=photon&index_type=fixed&ts_min=4
PKS1716-771,2.27,0.20,2.9,1.0,J1723.6-7714*,https://fermi.gsfc.nasa.gov/ssc/data/access/lat/LightCurveRepository/queryDB.php?typeOfRequest=lightCurveData&source_name=4FGL%20J1723.6-7714&cadence=monthly&flux_type=photon&index_type=fixed&ts_min=4
PKS1424-328,1.27,0.08,2.9,1.0,J1427.6-3305*,https://fermi.gsfc.nasa.gov/ssc/data/access/lat/LightCurveRepository/queryDB.php?typeOfRequest=lightCurveData&source_name=4FGL%20J1427.6-3305&cadence=monthly&flux_type=photon&index_type=fixed&ts_min=4
4C+04.42,2.21,0.19,2.7,1.0,J1222.5+0414*,https://fermi.gsfc.nasa.gov/ssc/data/access/lat/LightCurveRepository/queryDB.php?typeOfRequest=lightCurveData&source_name=4FGL%20J1222.5%2B0414&cadence=monthly&flux_type=photon&index_type=fixed&ts_min=4
PKS0250-225,1.21,0.08,2.7,1.0,J0252.8-2219,https://fermi.gsfc.nasa.gov/ssc/data/access/lat/LightCurveRepository/queryDB.php?typeOfRequest=lightCurveData&source_name=4FGL%20J0252.8-2219&cadence=monthly&flux_type=photon&index_type=fixed&ts_min=4
S41250+53,2.31,0.21,2.6,1.0,J1253.2+5301*,https://fermi.gsfc.nasa.gov/ssc/data/access/lat/LightCurveRepository/queryDB.php?typeOfRequest=lightCurveData&source_name=4FGL%20J1253.2%2B5301&cadence=monthly&flux_type=photon&index_type=fixed&ts_min=4
PKS1510-089,1.67,0.13,2.5,1.0,J1512.8-0906,https://fermi.gsfc.nasa.gov/ssc/data/access/lat/LightCurveRepository/queryDB.php?typeOfRequest=lightCurveData&source_name=4FGL%20J1512.8-0906&cadence=monthly&flux_type=photon&index_type=fixed&ts_min=4
PKS0403-13,1.69,0.12,2.3,1.0,J0405.6-1308*,https://fermi.gsfc.nasa.gov/ssc/data/access/lat/LightCurveRepository/queryDB.php?typeOfRequest=lightCurveData&source_name=4FGL%20J0405.6-1308&cadence=monthly&flux_type=photon&index_type=fixed&ts_min=4
B20716+33,2.29,0.18,2.2,1.0,J0719.3+3307*,https://fermi.gsfc.nasa.gov/ssc/data/access/lat/LightCurveRepository/queryDB.php?typeOfRequest=lightCurveData&source_name=4FGL%20J0719.3%2B3307&cadence=monthly&flux_type=photon&index_type=fixed&ts_min=4
S41030+41,2.29,0.21,2.0,1.0,J1033.1+4115*,https://fermi.gsfc.nasa.gov/ssc/data/access/lat/LightCurveRepository/queryDB.php?typeOfRequest=lightCurveData&source_name=4FGL%20J1033.1%2B4115&cadence=monthly&flux_type=photon&index_type=fixed&ts_min=4
